OBJETIVO ESTRATEGICO;LINEA ESTRATEGICA;CODIGO DEL PROGRAMA;NOMBRE DEL PROGRAMA;CODIGO DEL PROYECTO;NOMBRE DEL PROYECTO;No O FICHA DEL PROYECTO;ACTIVIDAD;TIPO DE GASTO;INDICADOR DEL PRODUCTO;UNIDAD DE MEDIDA DE LA META;META PROGRAMADA DEL PROYECTO;VALOR EJECUTADO DEL PROYECTO;VALOR DEL PROYECTO;VALOR EJECUTADO DEL PROYECTO;FUENTE DE FINANCIACION;FECHA DE INICIO;FECHA DE FINALIZACION;UNIDAD DE MEDIDA DE LA COBERTURA DEL PROYECTO;COBERTURA PROYECTADA;COBERTURA EJECUTADA;AREA RESPONSABLE DE LA EJECUCION;RESPONSABLE
Mejorar la prestacion del servicio mediante un Modelo Integral de Atención en Salud cumpliendo los lineamientos del Ministerio de Salud y Protección Social a traves de la Gestion de proyectos de mejoramiento y adecuacion infraestructura ante los entes del nivel territorial Departamental y Nacional;Gestion de Calidad al servicios de Todos;hdsa03;Modelo de atención integral y con calidad;hdsa03.2024;Dotacion de Insumos necesarios para una atencion con calidad;hdsa03.2024;Realizar contratación de insumos de acuerdo necesidades de los servicios prestados por la ESE;FUNCIONAMIENTO;Garantizar el 100% de los insumos requeridos;PORCENTAJE;100;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;OLGA MARTINEZ
Mejorar la prestacion del servicio mediante un Modelo Integral de Atención en Salud cumpliendo los lineamientos del Ministerio de Salud y Protección Social a traves de la Gestion de proyectos de mejoramiento y adecuacion infraestructura ante los entes del nivel territorial Departamental y Nacional;Gestion de Calidad al servicios de Todos;hdsa03;Modelo de atención integral y con calidad;hdsa03.2024;Rutas Integrales de Atención en salud RIAS;hdsa03.2024;1 Realizar cronograma de capacitacion de Normatividad aplicada a los procesos y servicios Institucionales de acuerdo a las RIAS priorizada 2 Ejecutar el cronograma y realizar medicion de conocimiento;FUNCIONAMIENTO;PROPORCION DE PERSONAS CAPACITADAS EN LA NORMATIVIDAD APLICADA A RIAS: No de personas capacitadas la nueva normatividad/No De personas objeto de capacitación;PORCENTAJE;100;86,21;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;DR VELEZ, DR RENGIFO
Mejorar la prestacion del servicio mediante un Modelo Integral de Atención en Salud cumpliendo los lineamientos del Ministerio de Salud y Protección Social a traves de la Gestion de proyectos de mejoramiento y adecuacion infraestructura ante los entes del nivel territorial Departamental y Nacional;Gestion de Calidad al servicios de Todos;hdsa03;Modelo de atención integral y con calidad;hdsa03.2024;PLAN AMPLIADO DE INMUNIZACION PAI COVID;hdsa03.2024;1 Capacitación al personal asistencial y profesional en las guias y protocolos de vacunación 2 aplicación de los LINEAMIENTOS GENERALES PARA EL PROGRAMA AMPLIADO DE INMUNIZACIONES PAI EN EL CONTEXTO DE LA PANDEMIA DE COVID19 COLOMBIA 2020 para las Instituciones prestadoras de servicios de salu;FUNCIONAMIENTO;Porción de personal capacitado No De personas capacitadas sobre numero de personas programadas para capacitación;PORCENTAJE;100;90;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;JEFE DIANA MARCELA
Establecer un programa de renovacion tecnologica que permita mantener los mas altos estandares en la prestacion del servicio;Gestion de Calidad al servicios de Todos;hdsa04;Atencion a traves de la gestion tecnologica;hdsa04.2024;Proyecto de Inversion para la adquisiscion renovacion y mantenimiento de equipos clinicos y de tecnologia de la información;hdsa04.2024; 4 Priorización de equipos requeridos para reposición y complementación de la dotación 5 Definición de especificaciones para cada uno de los equipos identificados como requerido para adquisición de tal manera que cumplan con normatividad vigente garantía respaldo técnico permanencia en el mercado, entre otras 6 Consolidación de la información para obtener el presupuesto total necesario para la adquisición de nuevas tecnologías 7 Relización del proyecto de inversión para la adquisiscion renovacion y mantenimiento de equipos clinicos y de tecnologia de la información 8 Gestión y cumplimiento del proyecto de inversion ;FUNCIONAMIENTO;Porcentaje de cumplimiento del plan de inversion en la renovacion mantenimiento y adquisicion de equipos y software Valor de los recursos propios ejecutados sobre el valor de recursos propios presupuestados para renovacion mantenimiento y adquisicion de equipos y software;PORCENTAJE;80;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;ROBERTH
Fortalecer el desarrollo intergral de habilidades y destrezas del personal contribuyendo a la prestacion de los servicios de salud con calidad;Gestion de Calidad al servicios de Todos;hdsa05;Gestion y Desarrollo integral del Talento Humano;hdsa05.2024;Plan de Capacitaciones Institucional;hdsa05.2024;1 Identificación de necesidades de capacitación 2 Elaboración del Programa de capacitación y adoptar el PIC en la institución 3Inclusión del plan de capacitación en el presupuesto 4 Ejecución de capacitaciones correspondientes al plan;FUNCIONAMIENTO;Porcentaje de ejecución del Plan de Capacitaciones Institucional;PORCENTAJE;80;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;OSCAR ORLEY ROMERO
Fortalecer el desarrollo intergral de habilidades y destrezas del personal contribuyendo a la prestacion de los servicios de salud con calidad;Gestion de Calidad al servicios de Todos;hdsa05;Gestion y Desarrollo integral del Talento Humano;hdsa05.2024;Medición e intervencion del Clima Organizacional;hdsa05.2024;1 Elaborar plan de bienestar social e incentivos 2 Adoptar plan de incentivos para usuarios internos de la ESE 3 Revisar y aplicar encuesta de clima organizacional 4 Tabular resultados 5 Implementar planes de mejora según resultados 6 Aplicar encuesta post planes de mejora;FUNCIONAMIENTO;Porcentaje de satisfaccion del cliente interno No De personas satisfechas sobre total de personas a las que se les aplica el instrumento de evaluacion;PORCENTAJE;80;90;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;DON OSCAR
Fortalecer el desarrollo intergral de habilidades y destrezas del personal contribuyendo a la prestacion de los servicios de salud con calidad;Gestion de Calidad al servicios de Todos;hdsa05;Gestion y Desarrollo integral del Talento Humano;hdsa05.2024;Medición e intervencion del Clima Organizacional;hdsa05.2024;1 Elaborar plan de bienestar social e incentivos 2 Adoptar plan de incentivos para usuarios internos de la ESE 3 Revisar y aplicar encuesta de clima organizacional 4 Tabular resultados 5 Implementar planes de mejora según resultados 6 Aplicar encuesta post planes de mejora;FUNCIONAMIENTO;Porcentaje de Cumplimiento del Plan de Bienestar No De actividades realizadas sobre No De actividades programadas en el Plan de Bienestar;PORCENTAJE;80;85;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;OSCAR ORLEY ROMERO
Fortalecer el desarrollo intergral de habilidades y destrezas del personal contribuyendo a la prestacion de los servicios de salud con calidad;Gestion de Calidad al servicios de Todos;hdsa05;Gestion y Desarrollo integral del Talento Humano;hdsa05.2024;Seguridad y Salud Laboral;hdsa05.2024;1 Actualización de la política de SGSST y capacitación 2 Elaboración del plan anual de capacitaciones del SGSST 3 Ejecutar el plan de capacitaciones y presentar informe de gestión;FUNCIONAMIENTO;Ejecutar el 100% del plan anual de capacitaciones del SGSST;PORCENTAJE;100;94;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;DRA RIOS
Fortalecer el desarrollo intergral de habilidades y destrezas del personal contribuyendo a la prestacion de los servicios de salud con calidad;Gestion de Calidad al servicios de Todos;hdsa05;Gestion y Desarrollo integral del Talento Humano;hdsa05.2024;Operatividad Administrativa;hdsa05.2024;1 Estudio de la capacidad instalada en recurso humano2 Contratar el personal que cumpla con los requisitos y requerimientos que garanticen las actividades asociadas 3Asignación de funciones de acuerdo a los perfiles y disponibilidades requeridas;FUNCIONAMIENTO;Contar con el 100% del personal técnico y profesional requerido por las diversas áreas de la institución;PORCENTAJE;100;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;DRA MAITE
Fortalecer el mercadeo y la venta d servicios Institucional que permita mejorar la imagen corporativa y posicionar la ESE como una de las mejores de la region;Gestion de Calidad al servicios de Todos;hdsa06;Mercadeo y Venta de Servicios;hdsa06.2024;plan de Medio de Comunicación Institucional;hdsa06.2024;1 Revisión y actualización del plan de medios 2 Documentación de estrategias de comunicación de acuerdo a las necesidades y a los tipos de clientes internos y externos 3 Contratación campañas de promoción en salud;FUNCIONAMIENTO;Ejecutar el 90% del Plan de Medio de Comunicación;PORCENTAJE;90;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;JHONATAN
