OBJETIVO ESTRATEGICO;LINEA ESTRATEGICA;CODIGO DEL PROGRAMA;NOMBRE DEL PROGRAMA;CODIGO DEL PROYECTO;NOMBRE DEL PROYECTO;No O FICHA DEL PROYECTO;ACTIVIDAD;TIPO DE GASTO;INDICADOR DEL PRODUCTO;UNIDAD DE MEDIDA DE LA META;META PROGRAMADA DEL PROYECTO;VALOR EJECUTADO DEL PROYECTO;VALOR DEL PROYECTO;VALOR EJECUTADO DEL PROYECTO;FUENTE DE FINANCIACION;FECHA DE INICIO;FECHA DE FINALIZACION;UNIDAD DE MEDIDA DE LA COBERTURA DEL PROYECTO;COBERTURA PROYECTADA;COBERTURA EJECUTADA;AREA RESPONSABLE DE LA EJECUCION;RESPONSABLE
Establecer la cultura donde los costos sean parte escencial en la busqueda de la competitividad sin detrimento de la calidad en la prestación de los servicios;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa08;Gestión de Costos;hdsa08.2024;Socializacion de la informacion de costos por centro de costos;hdsa08.2024;1 Realización de informes trimestrales de costos 2 presentacion a la Subgerencia Administrava;FUNCIONAMIENTO;Porcentaje de cumplimiento en la socializacion de informes de costos numero de informes socilizados sobre numero de informes por centro de costo programado;PORCENTAJE;90;50;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;ROSA
Fometar la cultura de autocontrol autogestión y autoregulacion;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa09;Gestion Administrativa;hdsa09.2024;Seguimiento de indicadores del Cuadro de Mando;hdsa09.2024;1 Consolidación de la Información 2 Reporte oportuno de la informacion por parte de las unidades generadoras de datos;FUNCIONAMIENTO;Porcentaje de informes presentados de seguimiento del cuadro de mando N° De informes de seguimiento realizados sobre N° Informe programados 2 Informes;PORCENTAJE;90;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;PAULO Y DON LUIS
Fometar la cultura de autocontrol autogestión y autoregulacion;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa09;Gestion Administrativa;hdsa09.2024;Gestion de riesgos Institucionales y de corrupcion;hdsa09.2024;1 Elaboracion y/o actulizacion del plan anticorrupcion y atencion al ciudadano 2 Consolidacion de la informacion y reporte informe de seguimiento;FUNCIONAMIENTO;porcentaje de informes de monitoreo de actividades del plan anticorrupcion y de atencion al ciudadano No De informes realizados sobre No De informes programados;PORCENTAJE;95;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;LUISA CORREA
Fometar la cultura de autocontrol autogestión y autoregulacion;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa09;Gestion Administrativa;hdsa09.2024;Gestion de riesgos Institucionales y de corrupcion;hdsa09.2024;1 Elaboracion y/o actulizacion del mapa de riesgo institucional 2 Consolidacion de la informacion y reporte informe de seguimiento;FUNCIONAMIENTO;Porcentaje de seguimiento de los planes de manejo de riesgos institucionales exixtentes No De planes revisados sobre No De planes realizados por procesos;PORCENTAJE;90;60;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;LUISA CORREA
Adoptar dentro de la cultura organizacional el mejormainto continuo de la calidad en la prestacion de los servicios;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa10;Gestion de Ssitemas de Informacion y Comunicación;hdsa10.2024;Adquisiscion e implementación de nuevas tecnologias de la informacion;hdsa10.2024;1 formulacion Actulización del Plan de las Tercnologias de la Información 2 Priorización de los proyectos del plan 3 Gestión de proyectos priorizados;FUNCIONAMIENTO;Porcentaje de TICS adoptadas e implenmentadas No De proyectos adoptados e implementados dentro de la vigencia sobre numero de proyectos TICS autorizados en la vigencia;PORCENTAJE;80;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;ROBERTH
Adoptar dentro de la cultura organizacional el mejormainto continuo de la calidad en la prestacion de los servicios;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa10;Gestion de Ssitemas de Informacion y Comunicación;hdsa10.2024;Plan de Mantenimiento de Tecnologias de la Información;hdsa10.2024;1 Elaboracion del plan de Matenimiento de las Tecnologias de la Informacion y comunicación TICs 2 Ejecucion del plan de Matenimiento de las TICS;FUNCIONAMIENTO;Porcentaje de Matenimientos preventivos realizados No De Mantenimientos realizados sobre No De mantenimeintos preventivos programados;PORCENTAJE;90;90;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;ROBERTH
Capacitación permanente del Talento Humano;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa11;Gestion del Conocimiento;hdsa11.2024;Programa de Induccion y Reinduccion Institucional;hdsa11.2024;1 Identificación de necesidades de capacitación 2 Elaboración del Programa de capacitación y adoptar el PIC en la institución 3Inclusión del plan de capacitación en el presupuesto 4 Ejecución de capacitaciones correspondientes al plan;FUNCIONAMIENTO;Porcentaje de personas con induccion institucional No De personas con induccion sobre No De personas que ingresaron a la institucion;PORCENTAJE;90;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;DON OSCAR
Aplicar un instrumentos de intentificación de necesidades y expectativas de los usuarios y grupos de interes;Gestion Buen Gobierno Gestion del Entorno;hdsa12;Satisfacción del Usuario;hdsa12.2024;Aplicación de Encuestas de percepcion y de satisfacción a usuarios y grupos de interes;hdsa12.2024;1 Aplicación de la encuesta de satisfacción al usuario externo 2 Campañas de información al usuario en conjunto con los convenios docencia servicio 3 Aprovechamiento de los espacios de usuarios como asociaciones y grupos organizados para dar información general sobre autocuidado 4 Estandarización de la información que brinda al usuario el equipo intra y extramural aprobada por calidad;FUNCIONAMIENTO;numero de usuarios encuestados/numero de encuestas realizadas;PORCENTAJE;80;99;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;ELIANA
Garantizar los diferentes escenarios de participacion Comunitaria;Gestion Buen Gobierno Gestion del Entorno;hdsa13;Escenarios de Participacion Comunitaria;hdsa13.2024;Participacion del Representante de los usuarios en la Junta Directiva;hdsa13.2024;1 Convocatorias de las Junta directiva;FUNCIONAMIENTO;porcentaje de participacion del representante de los usuarios en la junta directiva No De sesiones en la que participo sobre No De Sesiones realizadas;PORCENTAJE;90;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;DIANA CORNELIA
Garantizar los diferentes escenarios de participacion Comunitaria;Gestion Buen Gobierno Gestion del Entorno;hdsa13;Escenarios de Participacion Comunitaria;hdsa13.2024;Desarrollo de actividades con la Asociacion de Usuarios;hdsa13.2024;1 Establecer cronogrmama de Actividades con la asociacion de usaurios 2 Cumplimiento del Cronograma;FUNCIONAMIENTO;Porción de Actividades realizadas con el cliente externo No De actividades realizadas con la Asociacion de usuarios sobre No Actividades programadas;PORCENTAJE;80;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;ELIANA
Garantizar los diferentes escenarios de participacion Comunitaria;Gestion Buen Gobierno Gestion del Entorno;hdsa13;Escenarios de Participacion Comunitaria;hdsa13.2024;Rendicion de Cuentas;hdsa13.2024;1 Realizar convocatiras 2 establecer reglamento 3 Realizacion de informe general y presetacion de rendicion de cuetas 3 Evaluar el nivel satisfaccion de la comunidad participante en la RC;FUNCIONAMIENTO;Porcetante de Cumplimiento de las actividades para la rendicions de Cuentas No De Actividades realizadas sobre No De actividades planeadas;PORCENTAJE;100;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;PAULO
Desarrollar programas de manejo ambietal en caminados al control prevencion y mitigacion del impacto generado por los servicios de salud;Gestion Buen Gobierno Gestion del Entorno;hdsa14;Gerenciamiento Ambiental;hdsa14.2024;Realizacion de Campañas de gestión Ambiental;hdsa14.2024;1 Diagnosticar la necesidad de requisitos y normas del sistema de gestión ambiental a intervenir basado en verificación del cumplimiento Institucional en los requisitos 2 Plan de intervención sobre los requisitos requeridos 3 Ejecución del plan de intervención 4 Capacitación al recurso humano sobre el plan de gestión ambiental implementado;FUNCIONAMIENTO;Porcentaje de Cumplimiento del Plan de Manejo Ambiental;PORCENTAJE;90;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;PAULO
