No DE ESTRATEGIA;AREAS INVOLUCRADAS;TIPO DE INDICADOR;DESCRIPCION DEL INDICADOR;INDICADOR;CALCULO DEL INDICADOR;ANALISIS;NOMBRE DE LA ESTRATEGIA;RESPONSABLE;;cumplimiento plan de desarrollo;cumplimiento seguimiento;
1;Subdireccion Cientifica;G;Oportunidad en asignación de cita en consulta de Ginecología;(Sumatoria total de los días calendario transcurridos entre la fecha en la cual el paciente solicita cita por cualquier medio, y la fecha para la cual es asignada / Número total de consultas en el periodo);7,01;Oportunidad en asignación de cita en consulta de Ginecología;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;8;;100%
1;Subdireccion Cientifica;G;Tiempo promedio de espera para la asignación de citas de obstetricia.;Sumatoria de la diferencia de días calendario trascurridos entre las fechas en la que se asignó la cita de obstetricia de primera vez y la fecha en la cual el usuario la solicito en la vigencia objeto de evaluación / Número total de citas de obstetricia de primera vez asignadas en la vigencia objeto de evaluación.;4,8;Tiempo promedio de espera para la asignación de citas de obstetricia.;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;8;;100%
1;Subdireccion Cientifica;G;Oportunidad en asignación de cita en consulta de Cirugía General;(Sumatoria total de los días calendario transcurridos entre la fecha en la cual el paciente solicita cita por cualquier medio, y la fecha para la cual es asignada / Número total de consultas en el periodo);5,07;Oportunidad en asignación de cita en consulta de Cirugía General;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;20;;100%
1;Subdireccion Cientifica;G;Oportunidad en asignación de cita en consulta de Odontología;(Sumatoria total de los días de espera entre la solicitud y la fecha por el cual el usuario solicito se le asignara la cita / Número total de consultas en el periodo);2,74;Oportunidad en asignación de cita en consulta de Odontología;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;3;;100%
1;Subdireccion Cientifica;G;Oportunidad en la atención específica de pacientes con diagnostico al egreso de Infarto Agudo de Miocardio (IAM).;Número de pacientes con diagnóstico de egreso de infarto agudo de miocardio a quienes se inició la terapia especifica de acuerdo a la guía de manejo para IAM dentro de la primera hora posterior a la realización del diagnóstico en la vigencia objeto de evaluación / Total de pacientes con diagnóstico de egreso con infarto agudo de miocardio en la vigencia objeto de evaluación.;100;Oportunidad en la atención específica de pacientes con diagnostico al egreso de Infarto Agudo de Miocardio (IAM).;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;90;;90%
1;Subdireccion Cientifica;G;Número de pacientes pediátricos con neumonías broncoaspirativas de origen intrahospitalario y variación interanual.;Número de pacientes pediátricos con neumonías broncoaspirativas de origen intrahospitalaria en la vigencia objeto de evaluación / Número de pacientes pediátricos con neumonías bronco-aspirativas de origen intrahospitalario en la vigencia objeto de evaluación - Número de pacientes pediátricos con neumonías bronco-aspirativas de origen intrahospitalario de la vigencia anterior.;100;Número de pacientes pediátricos con neumonías broncoaspirativas de origen intrahospitalario y variación interanual.;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;0;;100%
1;Subdireccion Cientifica;G;Oportunidad en la realización de apendicetomía;Número de pacientes con diagnóstico de apendicitis al egreso a quienes se le realizó la apendicetomía dentro de las seis horas de confirmado el diagnostico/ total de pacientes con diagnóstico de apendicitis al egreso en la vigencia objeto de evaluación.;94;Oportunidad en la realización de apendicetomía;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;90;;100%
1;Subdireccion Cientifica;G;Tiempo de espera para la atención en consulta programada;(Sumatoria total del tiempo de espera entre la hora programada y la hora de la atención / Número total de usuarios atendidos);27;Tiempo de espera para la atención en consulta programada;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;30;;90%
1;Subdireccion Cientifica;G;Cumplimiento al Programa de Seguridad del paciente;(Total de actividades realizadas/ total de actividades planeadas)*100;100;Cumplimiento al Programa de Seguridad del paciente;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;90;;100%
1;Subdireccion Cientifica;G;Gestión de eventos adversos (según Circular Única);(Total de eventos adversos gestionados / Eventos adversos detectados)*100;100;Gestión de eventos adversos (según Circular Única);Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;100;;100%
1;Subdireccion Cientifica;G;Cumplimiento al Programa de Tecnovigilancia;(Total de actividades realizadas/ total de actividades planeadas)*100;100;Cumplimiento al Programa de Tecnovigilancia;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;90;;100%
1;Subdireccion Cientifica;G;Cumplimiento al Programa de Farmacovigilancia;(Total de actividades realizadas/ total de actividades planeadas)*100;100;Cumplimiento al Programa de Farmacovigilancia;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;90;;100%
1;Subdireccion Cientifica;G;Cumplimiento de Programa de Reactivo y Hemovigilancia;(Total de actividades realizadas/ total de actividades planeadas)*100;100;Cumplimiento de Programa de Reactivo y Hemovigilancia;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;90;;100%
1;Subdireccion Cientifica;G;Porcentaje de infección hospitalaria;(Número de pacientes con infección nosocomial / Número de pacientes hospitalizados (EGRESO))*100;3;Porcentaje de infección hospitalaria;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;2;;67%
