No DE ESTRATEGIA;AREAS INVOLUCRADAS;TIPO DE INDICADOR;DESCRIPCION DEL INDICADOR;INDICADOR;CALCULO DEL INDICADOR;ANALISIS;NOMBRE DE LA ESTRATEGIA;RESPONSABLE;;cumplimiento plan de desarrollo;cumplimiento seguimiento;
4;Talento Humano;G;Cumplimiento de inducción específica;(Número de inducciones específicas realizadas / Número de funcionarios que ingresaron) * 100;100;Cumplimiento de inducción específica;Gestión Integral del Talento Humano;DON OSCAR;;90;;100%
4;Talento Humano;G;Cumplimiento a plan de capacitaciones y estímulos;(Número de capacitaciones realizadas / Número de capacitaciones programadas) * 100;100;Cumplimiento a plan de capacitaciones y estímulos;Gestión Integral del Talento Humano;DON OSCAR;;100;;100%
4;Talento Humano;G;Cumplimiento a plan de inducción general;(Número de inducciones generales realizadas / Número de funcionarios que ingresan en el periodo) * 100;100;Cumplimiento a plan de inducción general;Gestión Integral del Talento Humano;DON OSCAR;;100;;100%
4;Talento Humano;G;Formalización Laboral;(Número de empleos formalizados / Total de empleos requeridos) * 100;87;Formalización Laboral;Gestión Integral del Talento Humano;DON OSCAR;;50;;100%
4;Talento Humano;G;Actualización Laboral;(Número de cargos actualizados / Total de cargos)*100;100;Actualización Laboral;Gestión Integral del Talento Humano;DON OSCAR;;50;;100%
4;Talento Humano;G;Garantizar el personal administrativo requerido para los procesos de apoyo;(Personal Disponible / Personal Requerido) *100;92;Garantizar el personal administrativo requerido para los procesos de apoyo;Gestión Integral del Talento Humano;DON OSCAR;;100;;92%
4;Talento Humano;G;Garantizar el personal asistencial requerido para los procesos misionales;(Personal Disponible / Personal Requerido) *100;75;Garantizar el personal asistencial requerido para los procesos misionales;Gestión Integral del Talento Humano;DON OSCAR;;100;;75%
4;Talento Humano;G;Cumplimiento a plan de reinducción general;(Número de reinducciones generales realizadas / Número de reinducciones programadas durante el año) * 100;92;Cumplimiento a plan de reinducción general;Gestión Integral del Talento Humano;DON OSCAR;;100;;92%
4;Talento Humano;G;Cumplimiento del programa del Sistema de Gestión de Seguridad y Salud en el Trabajo;(Actividades realizadas / Actividades programadas) *100;77;Cumplimiento del programa del Sistema de Gestión de Seguridad y Salud en el Trabajo;Gestión Integral del Talento Humano;DRA RIOS;;95;;81%
4;Talento Humano;G;Cumplimiento al plan de bienestar;(Número de actividades completadas/Número total de actividades programadas) *100;86;Cumplimiento al plan de bienestar;Gestión Integral del Talento Humano;DON OSCAR;;90;;96%
4;SIAU;G;Clima y satisfacción del cliente interno;(Encuestas satisfechas/Total de encuestas) * 100;90;Clima y satisfacción del cliente interno;Gestión Integral del Talento Humano;DON OSCAR;;60;;100%
5;Gerencia;G;Presentación de proyectos;(Proyectos terminados / Proyectos presentados) *100;100;Presentación de proyectos;Estrategias Sostenibles para Impacto Positivo en Grupos de Interés;LUISA CORREA;;50;;100%
5;Gerencia;G;Ejecución de proyectos verdes;(Proyectos verdes ejecutados/Proyectos aprobados);100;Ejecución de proyectos verdes;Estrategias Sostenibles para Impacto Positivo en Grupos de Interés;PAULO;;50;;100%
5;Gestión Ambiental;G;Cumplimiento del PGIRASA (Seguimiento a la gestión de residuos);(No. De actividades realizadas dentro del cronograma de actividades del PGIRASA / No. De actividades programadas en el periodo del cronograma de actividades del PGIRASA)*100;100;Cumplimiento del PGIRASA (Seguimiento a la gestión de residuos);Estrategias Sostenibles para Impacto Positivo en Grupos de Interés;PAULO;;80;;100%
5;Gestión Ambiental;G;Cumplimiento del programa de gestión ambiental;(Número de Informes entregados / Total de informes a entregar)*100;100;Cumplimiento del programa de gestión ambiental;Estrategias Sostenibles para Impacto Positivo en Grupos de Interés;PAULO;;50;;100%
5;Gestión Ambiental;G;Porcentaje de cumplimiento del cronograma de implementación del Sistema de Gestión Ambiental (SGA);(Número de actividades completadas/Número total de actividades programadas)*100;80;Porcentaje de cumplimiento del cronograma de implementación del Sistema de Gestión Ambiental (SGA);Estrategias Sostenibles para Impacto Positivo en Grupos de Interés;PAULO;;50;;100%
5;Gestión Ambiental;G;Cumplimiento de programa de responsabilidad social;(Total de actividades realizadas /Total de actividades programadas)*100;0;Cumplimiento de programa de responsabilidad social;Estrategias Sostenibles para Impacto Positivo en Grupos de Interés;PAULO;;50;;0%
